Company,Rating,Role_name,Salary_Estimate,Pros,Cons,Recommend %
Arista Consulting,5.0,Application Developer (Fresher),₹6L - ₹10L (Glassdoor Est.),No Pros Available,No Cons Available,"100 %
Recommend to a friend
N/A
Approve of CEO
0 Ratings"
Amgen,4.1,Associate Software Engineer - Full Stack Developer,₹5L - ₹7L (Glassdoor Est.),"""good benefits and work environment"" (in 31 reviews)
""Good culture for manufacturing and engineering"" (in 25 reviews)
""great work life balance here"" (in 16 reviews)
""Good pay!"" (in 31 reviews)
""Great people to work with and WFH"" (in 26 reviews)","""The pay is low because the benefits are good."" (in 31 reviews)
""Toxic, one up, overwork, burnout culture, high turnover"" (in 25 reviews)
""sometimes no work life balance because of senior managers constant nagging"" (in 16 reviews)
""Pay could be better given the workload"" (in 31 reviews)","82 %
Recommend to a friend
89 %
Approve of CEO
Robert A. Bradway
1,577 Ratings"
Accenture,3.8,Software Development Engineer,N/A,No Pros Available,No Cons Available,"76 %
Recommend to a friend
79 %
Approve of CEO
Julie Sweet
32,305 Ratings"
Google,4.3,"Web Solutions Engineer, University Graduate, 2025",N/A,No Pros Available,No Cons Available,"84 %
Recommend to a friend
75 %
Approve of CEO
Sundar Pichai
8,720 Ratings"
Microsoft,4.2,Software Engineer,N/A,No Pros Available,No Cons Available,"86 %
Recommend to a friend
91 %
Approve of CEO
Satya Nadella
9,764 Ratings"
Optum,3.5,Software Engineer - Splunk,₹8L - ₹10L (Glassdoor Est.),"""Hybrid and good work life balance"" (in 796 reviews)
""The work culture is good and seniors help you to understand the work and solving issues."" (in 343 reviews)
""Good salary and keep updating as per market standards"" (in 552 reviews)
""Management is good"" (in 279 reviews)
""Remote and Dynamic work environment good benefits"" (in 202 reviews)","""For few proj work is to much where we need to extend and no work life balance for women employees"" (in 796 reviews)
""Bad work culture"" (in 343 reviews)
""Less salary hike overall good"" (in 552 reviews)
""Poor management and too much micromanagement"" (in 279 reviews)
""There are no benefits provided like free meal apart from free cab and internet reimbursement."" (in 202 reviews)","63 %
Recommend to a friend
66 %
Approve of CEO
Andrew Witty
3,771 Ratings"
GE Vernova,3.8,Software Development Leadership Program,₹5L - ₹8L (Glassdoor Est.),"""Good Work life balance in conpany"" (in 54 reviews)
""Good pay, not overworked, room to grow"" (in 58 reviews)
""Good work culture to be here"" (in 50 reviews)
""1. good management"" (in 35 reviews)
""Good benefits."" (in 31 reviews)","""No work/life balance"" (in 54 reviews)
""Less pay compared to the competition"" (in 58 reviews)
""Slow change and old work culture"" (in 50 reviews)
""Poor management."" (in 35 reviews)
""Benefits are higher overall, overall."" (in 31 reviews)","74 %
Recommend to a friend
78 %
Approve of CEO
Scott Strazik
536 Ratings"
Aeries Technology,3.6,Management Trainee (Web Application Developer),N/A,No Pros Available,No Cons Available,"65 %
Recommend to a friend
73 %
Approve of CEO
V. Raman Kumar
229 Ratings"
Goldman Sachs,3.9,Wealth Management-Hyderabad-Associate-Software Engineering,₹5L - ₹10L (Glassdoor Est.),"""Great people and super smart"" (in 154 reviews)
""Good work life balance (at least in engineering)"" (in 140 reviews)
""the pay is good and nice"" (in 125 reviews)
""Good culture and technology stack"" (in 100 reviews)
""Empathetic managers."" (in 46 reviews)","""Always blaming people."" (in 154 reviews)
""No work life balance No fixed off time/self time Daily late night working after coming from office"" (in 140 reviews)
""Low pay compared to other IBs or tech companies"" (in 125 reviews)
""Culture is a bit hard and difficult"" (in 100 reviews)
""bad WLB, some managers are bad"" (in 46 reviews)","69 %
Recommend to a friend
62 %
Approve of CEO
David M. Solomon
3,584 Ratings"
Prismire software solutions pvt ltd,N/A,Software Engineer,₹3L - ₹4L (Employer Est.),No Pros Available,No Cons Available,N/A
Microsoft,4.2,Software Engineering (AMC),₹1L - ₹6L (Glassdoor Est.),"""Good work life balance and overall nice to work"" (in 1937 reviews)
""Very fun and good benefits"" (in 1135 reviews)
""Team culture is good and encouraging."" (in 1611 reviews)
""Flexible and pay is good"" (in 2098 reviews)
""great people and place to work"" (in 1242 reviews)","""Bad work life balance and politics"" (in 1937 reviews)
""No benefits parity between US and Canada"" (in 1135 reviews)
""toxic culture on some orgs no culture"" (in 1611 reviews)
""Growth path is very bad; low pay compared to other big techs boring"" (in 2098 reviews)
""Some people are also concerned about the security implications of storing work in the cloud."" (in 1242 reviews)","86 %
Recommend to a friend
91 %
Approve of CEO
Satya Nadella
9,764 Ratings"
Infasta,4.4,UI Developer Free Training & Internship,N/A,No Pros Available,No Cons Available,"100 %
Recommend to a friend
100 %
Approve of CEO
Shiva Kumar
10 Ratings"
Amgen,4.1,Associate Software Engineer – Pharmaceutical Labeling,₹4L - ₹9L (Glassdoor Est.),"""good benefits and work environment"" (in 31 reviews)
""Good culture for manufacturing and engineering"" (in 25 reviews)
""great work life balance here"" (in 16 reviews)
""Good pay!"" (in 31 reviews)
""Great people to work with and WFH"" (in 26 reviews)","""The pay is low because the benefits are good."" (in 31 reviews)
""Toxic, one up, overwork, burnout culture, high turnover"" (in 25 reviews)
""sometimes no work life balance because of senior managers constant nagging"" (in 16 reviews)
""Pay could be better given the workload"" (in 31 reviews)","82 %
Recommend to a friend
89 %
Approve of CEO
Robert A. Bradway
1,577 Ratings"
Vitel Global Communications,3.5,Devops Engineer Intern,N/A,No Pros Available,No Cons Available,"94 %
Recommend to a friend
97 %
Approve of CEO
Praveen Andapally
22 Ratings"
Retail Sols,2.6,Trainee Software Engineer,₹2L - ₹3L (Glassdoor Est.),No Pros Available,No Cons Available,"45 %
Recommend to a friend
48 %
Approve of CEO
Bhoopal Reddy
18 Ratings"
Shriyan Software Services,5.0,Entry Level Developer,N/A,No Pros Available,No Cons Available,"100 %
Recommend to a friend
N/A
Approve of CEO
0 Ratings"
Rise Technical Recruitment Limited,3.8,Senior Backend Engineer (Golang),N/A,No Pros Available,No Cons Available,"72 %
Recommend to a friend
79 %
Approve of CEO
Ben McCarthy
154 Ratings"
VXI Global Solutions,3.7,Lead Engineer - Backend,₹2L - ₹4L (Glassdoor Est.),"""Average salary for a bpo company Flexible for wfh and wos"" (in 13 reviews)
""Most people are fun to work with."" (in 7 reviews)
""Good environment, Competitive Salary, Training and Development"" (in 8 reviews)
""Good environment to work here."" (in 6 reviews)","""Low salary and low increase"" (in 13 reviews)
""bad management"" (in 4 reviews)","73 %
Recommend to a friend
78 %
Approve of CEO
David Zhou
304 Ratings"
Mahaveer Soft Solutions,1.0,Junior Web Developer/Designer,₹2L - ₹5L (Glassdoor Est.),No Pros Available,No Cons Available,"N/A
Recommend to a friend
N/A
Approve of CEO
0 Ratings"
Microsoft,4.2,Software Engineering,N/A,No Pros Available,No Cons Available,"86 %
Recommend to a friend
91 %
Approve of CEO
Satya Nadella
9,764 Ratings"
Apple,4.1,"Software Engineer - Java, Spring Boot and Microservices",₹3L - ₹10L (Glassdoor Est.),"""Good work life balance (there are a lot of exaggerations about Apple on this."" (in 503 reviews)
""Benefits and pay is good"" (in 401 reviews)
""pay is good and people recruit you"" (in 620 reviews)
""great people and products to work on"" (in 516 reviews)
""good culture and work ethics"" (in 486 reviews)","""no work life balance at all"" (in 503 reviews)
""contract has no benefit."" (in 401 reviews)
""Difficult to enter and low pay"" (in 620 reviews)
""Some people were a bit abrasive."" (in 516 reviews)
""bad culture bad people bad"" (in 486 reviews)","80 %
Recommend to a friend
88 %
Approve of CEO
Tim Cook
7,202 Ratings"
Infor,4.0,"Software Engineer, Senior",₹6L - ₹9L (Glassdoor Est.),"""Good work life balance which is important"" (in 258 reviews)
""Competitive salary also for experienced new hires (so ask for more during negotiation!)"" (in 221 reviews)
""3. Good Benefits"" (in 75 reviews)
""The company has a great culture enabling individual transformation and growth."" (in 108 reviews)
""Good people to work with"" (in 112 reviews)","""No work life balance"" (in 258 reviews)
""Other companies will give you the right salary even if your asking price is low."" (in 221 reviews)
""less benefits , old technologies ,no proper practices"" (in 75 reviews)
""Not much of a culture"" (in 108 reviews)
""Good smart people to work with."" (in 112 reviews)","81 %
Recommend to a friend
87 %
Approve of CEO
Kevin Samuelson
1,744 Ratings"
ADCI - Haryana,3.6,"Software Development Engineer - Contractor, MFN International",₹2L - ₹8L (Glassdoor Est.),"""Work life balance has a reputation of being ""hit or miss"" at the company (mind has been good) so that's something to watch out for."" (in 3413 reviews)
""Pay is good but not worth the asks made from IT and how they are treated"" (in 4074 reviews)
""The culture is good and there's a lot of smart people willing to help you grow"" (in 3503 reviews)
""Salary and Relocation benefits were good"" (in 1409 reviews)
""My team was great and I was really lucky to be placed on this team."" (in 2702 reviews)","""Lot of work and no proper appreciation No work life balance Pay will depend upon how you negotiate with HR"" (in 3413 reviews)
""Low pay (but matches market level) depends on team you go"" (in 4074 reviews)
""The culture is toxic and competitive"" (in 3503 reviews)
""No benefits get limited stock in first 2 years"" (in 1409 reviews)
""From personal experience it's great but I know other teams where it's not."" (in 2702 reviews)","65 %
Recommend to a friend
63 %
Approve of CEO
Andrew Jassy
40,077 Ratings"
Optum,3.5,Software Engineer,₹8L - ₹10L (Glassdoor Est.),"""Hybrid and good work life balance"" (in 796 reviews)
""The work culture is good and seniors help you to understand the work and solving issues."" (in 343 reviews)
""Good salary and keep updating as per market standards"" (in 552 reviews)
""Management is good"" (in 279 reviews)
""Remote and Dynamic work environment good benefits"" (in 202 reviews)","""For few proj work is to much where we need to extend and no work life balance for women employees"" (in 796 reviews)
""Bad work culture"" (in 343 reviews)
""Less salary hike overall good"" (in 552 reviews)
""Poor management and too much micromanagement"" (in 279 reviews)
""There are no benefits provided like free meal apart from free cab and internet reimbursement."" (in 202 reviews)","63 %
Recommend to a friend
66 %
Approve of CEO
Andrew Witty
3,771 Ratings"
Optum,3.5,"Associate Software Engineer II - Java Springboot, Kafka",₹8L - ₹10L (Glassdoor Est.),"""Hybrid and good work life balance"" (in 796 reviews)
""The work culture is good and seniors help you to understand the work and solving issues."" (in 343 reviews)
""Good salary and keep updating as per market standards"" (in 552 reviews)
""Management is good"" (in 279 reviews)
""Remote and Dynamic work environment good benefits"" (in 202 reviews)","""For few proj work is to much where we need to extend and no work life balance for women employees"" (in 796 reviews)
""Bad work culture"" (in 343 reviews)
""Less salary hike overall good"" (in 552 reviews)
""Poor management and too much micromanagement"" (in 279 reviews)
""There are no benefits provided like free meal apart from free cab and internet reimbursement."" (in 202 reviews)","63 %
Recommend to a friend
66 %
Approve of CEO
Andrew Witty
3,771 Ratings"
Amazon Dev Center India - Hyderabad,3.6,Software Dev Engineer I,₹2L - ₹8L (Glassdoor Est.),"""Work life balance has a reputation of being ""hit or miss"" at the company (mind has been good) so that's something to watch out for."" (in 3413 reviews)
""Pay is good but not worth the asks made from IT and how they are treated"" (in 4074 reviews)
""The culture is good and there's a lot of smart people willing to help you grow"" (in 3503 reviews)
""Salary and Relocation benefits were good"" (in 1409 reviews)
""My team was great and I was really lucky to be placed on this team."" (in 2702 reviews)","""Lot of work and no proper appreciation No work life balance Pay will depend upon how you negotiate with HR"" (in 3413 reviews)
""Low pay (but matches market level) depends on team you go"" (in 4074 reviews)
""The culture is toxic and competitive"" (in 3503 reviews)
""No benefits get limited stock in first 2 years"" (in 1409 reviews)
""From personal experience it's great but I know other teams where it's not."" (in 2702 reviews)","65 %
Recommend to a friend
63 %
Approve of CEO
Andrew Jassy
40,077 Ratings"
Ethon Health Care Solutions,2.8,Junior Java Developer,₹4L - ₹7L (Glassdoor Est.),No Pros Available,No Cons Available,"N/A
Recommend to a friend
N/A
Approve of CEO
0 Ratings"
Navayuga Infotech,3.9,Java Developer - Fresher,₹4L - ₹6L (Glassdoor Est.),"""Wonderful and employee friendly with everyone one"" (in 1 review)
""There are best opportunities for growth"" (in 1 review)","""Micro management, Worst work culture, Delaying in salary, No Job security"" (in 1 review)","79 %
Recommend to a friend
79 %
Approve of CEO
Gautam Nimmagadda
26 Ratings"
Infor,4.0,Software Engineer ( Java Developer ),₹4L - ₹7L (Glassdoor Est.),"""Good work life balance which is important"" (in 258 reviews)
""Competitive salary also for experienced new hires (so ask for more during negotiation!)"" (in 221 reviews)
""3. Good Benefits"" (in 75 reviews)
""The company has a great culture enabling individual transformation and growth."" (in 108 reviews)
""Good people to work with"" (in 112 reviews)","""No work life balance"" (in 258 reviews)
""Other companies will give you the right salary even if your asking price is low."" (in 221 reviews)
""less benefits , old technologies ,no proper practices"" (in 75 reviews)
""Not much of a culture"" (in 108 reviews)
""Good smart people to work with."" (in 112 reviews)","81 %
Recommend to a friend
87 %
Approve of CEO
Kevin Samuelson
1,744 Ratings"
Goldman Sachs,3.9,FICC Platform Engineering - Associate - Software Engineering - Global Banking & Markets,₹5L - ₹10L (Glassdoor Est.),"""Great people and super smart"" (in 154 reviews)
""Good work life balance (at least in engineering)"" (in 140 reviews)
""the pay is good and nice"" (in 125 reviews)
""Good culture and technology stack"" (in 100 reviews)
""Empathetic managers."" (in 46 reviews)","""Always blaming people."" (in 154 reviews)
""No work life balance No fixed off time/self time Daily late night working after coming from office"" (in 140 reviews)
""Low pay compared to other IBs or tech companies"" (in 125 reviews)
""Culture is a bit hard and difficult"" (in 100 reviews)
""bad WLB, some managers are bad"" (in 46 reviews)","69 %
Recommend to a friend
62 %
Approve of CEO
David M. Solomon
3,584 Ratings"
Tech Dimensions,N/A,Associate Software Development Engineer (ASDE),₹3L - ₹8L (Glassdoor Est.),No Pros Available,No Cons Available,N/A
Oracle,3.8,Software Developer,₹6L - ₹10L (Glassdoor Est.),"""Flexibility and Good work life balance"" (in 1564 reviews)
""Good salary and increase in payment"" (in 1321 reviews)
""Good Work Culture and friendly"" (in 725 reviews)
""Good benefits and leave policy"" (in 428 reviews)
""good management and team."" (in 411 reviews)","""You get too much work life balance and no learning"" (in 1564 reviews)
""Salary is low and performance is not rewarded"" (in 1321 reviews)
""bad work culture"" (in 725 reviews)
""Less benefits are received."" (in 428 reviews)
""bad management forcing return to office"" (in 411 reviews)","72 %
Recommend to a friend
80 %
Approve of CEO
Safra A. Catz
7,864 Ratings"
ADCI HYD 13 SEZ,3.6,"Web Development Engineer-I, Carrier Logistics",₹3L - ₹9L (Glassdoor Est.),"""Work life balance has a reputation of being ""hit or miss"" at the company (mind has been good) so that's something to watch out for."" (in 3413 reviews)
""Pay is good but not worth the asks made from IT and how they are treated"" (in 4074 reviews)
""The culture is good and there's a lot of smart people willing to help you grow"" (in 3503 reviews)
""Salary and Relocation benefits were good"" (in 1409 reviews)
""My team was great and I was really lucky to be placed on this team."" (in 2702 reviews)","""Lot of work and no proper appreciation No work life balance Pay will depend upon how you negotiate with HR"" (in 3413 reviews)
""Low pay (but matches market level) depends on team you go"" (in 4074 reviews)
""The culture is toxic and competitive"" (in 3503 reviews)
""No benefits get limited stock in first 2 years"" (in 1409 reviews)
""From personal experience it's great but I know other teams where it's not."" (in 2702 reviews)","65 %
Recommend to a friend
63 %
Approve of CEO
Andrew Jassy
40,077 Ratings"
DAZN,2.9,"Associate Software Engineer, IN",₹7L - ₹10L (Glassdoor Est.),"""Great people to work with"" (in 39 reviews)
""good work/life balance and team collaboration plus flexibility on way of working"" (in 27 reviews)
""Direct management is very good and is full of people that want the best for their reports."" (in 41 reviews)
""The best part of the company was the culture."" (in 39 reviews)","""Luckily our people really are that good, so its unlikely they will struggle to find great opportunities elsewhere."" (in 39 reviews)
""No work life balance in some teams"" (in 27 reviews)
""Bad management has caused failures"" (in 41 reviews)
""Culture is always sacrified for the owner’s latest priority."" (in 39 reviews)
""On higher levels there is nobody within the company that is actually able to contradict CTO or the people he surrounds himself with, so again"" (in 37 reviews)","41 %
Recommend to a friend
46 %
Approve of CEO
Shay Segev
315 Ratings"
Apple,4.1,Software Development Engineer - Ad Platforms,₹3L - ₹10L (Glassdoor Est.),"""Good work life balance (there are a lot of exaggerations about Apple on this."" (in 503 reviews)
""Benefits and pay is good"" (in 401 reviews)
""pay is good and people recruit you"" (in 620 reviews)
""great people and products to work on"" (in 516 reviews)
""good culture and work ethics"" (in 486 reviews)","""no work life balance at all"" (in 503 reviews)
""contract has no benefit."" (in 401 reviews)
""Difficult to enter and low pay"" (in 620 reviews)
""Some people were a bit abrasive."" (in 516 reviews)
""bad culture bad people bad"" (in 486 reviews)","80 %
Recommend to a friend
88 %
Approve of CEO
Tim Cook
7,202 Ratings"
S&P Global,4.1,"ENGINEER III, SOFTWARE DEVELOPMENT- Python",₹6L - ₹9L (Glassdoor Est.),"""Good Work life balance and things to learn"" (in 214 reviews)
""Good benefits but very bureaucratic"" (in 135 reviews)
""Product base company and good salary."" (in 170 reviews)
""Work culture is good and flexible"" (in 123 reviews)
""Friendly people and helpful team."" (in 77 reviews)","""Nothing..good work life balance .."" (in 214 reviews)
""bad benefits and poor upper management"" (in 135 reviews)
""Salaries are low I think"" (in 170 reviews)
""Work culture is not as much good as other corporate, everyday the work would be extended more than 9 hours."" (in 123 reviews)","85 %
Recommend to a friend
92 %
Approve of CEO
Martina L. Cheung
81 Ratings"
Amgen,4.1,Associate Software Engineer - Talent & Performance,₹4L - ₹9L (Glassdoor Est.),"""good benefits and work environment"" (in 31 reviews)
""Good culture for manufacturing and engineering"" (in 25 reviews)
""great work life balance here"" (in 16 reviews)
""Good pay!"" (in 31 reviews)
""Great people to work with and WFH"" (in 26 reviews)","""The pay is low because the benefits are good."" (in 31 reviews)
""Toxic, one up, overwork, burnout culture, high turnover"" (in 25 reviews)
""sometimes no work life balance because of senior managers constant nagging"" (in 16 reviews)
""Pay could be better given the workload"" (in 31 reviews)","82 %
Recommend to a friend
89 %
Approve of CEO
Robert A. Bradway
1,577 Ratings"
Hyland Software,3.7,Developer 1 (Backend Java),₹5L - ₹10L (Glassdoor Est.),"""Good Work/Life Balance until you are suddenly purged"" (in 43 reviews)
""Good pay and benefits"" (in 42 reviews)
""Great people to work with Work"" (in 38 reviews)
""Good work culture"" (in 35 reviews)","""Company made a 20% layoff recently"" (in 48 reviews)
""Low pay, Lots of manual testing"" (in 42 reviews)","62 %
Recommend to a friend
72 %
Approve of CEO
Jitesh S. Ghai
35 Ratings"
Apple,4.1,"Software Development Engineer, Java - Engineering Solutions",₹5L - ₹7L (Glassdoor Est.),"""Good work life balance (there are a lot of exaggerations about Apple on this."" (in 503 reviews)
""Benefits and pay is good"" (in 401 reviews)
""pay is good and people recruit you"" (in 620 reviews)
""great people and products to work on"" (in 516 reviews)
""good culture and work ethics"" (in 486 reviews)","""no work life balance at all"" (in 503 reviews)
""contract has no benefit."" (in 401 reviews)
""Difficult to enter and low pay"" (in 620 reviews)
""Some people were a bit abrasive."" (in 516 reviews)
""bad culture bad people bad"" (in 486 reviews)","80 %
Recommend to a friend
88 %
Approve of CEO
Tim Cook
7,202 Ratings"
Snapper IT,4.3,Application Developer Fresher,₹6L - ₹9L (Glassdoor Est.),"""Good colleagues always helps when we are struck."" (in 2 reviews)
""Good pay and learn new technologies"" (in 1 review)
""No office politics, and we can easily switch roles even without extensive experience."" (in 1 review)","""Lack of Formal Experience Requirements: While the flexibility is great, it might sometimes lead to roles being filled by less experienced candidates, which can impact team dynamics."" (in 1 review)","82 %
Recommend to a friend
N/A
Approve of CEO
0 Ratings"
"Cornerstone OnDemand, Inc.",3.7,Associate Software Engineer - ROR,₹8L - ₹10L (Glassdoor Est.),"""Good work culture"" (in 34 reviews)
""Good work life balance"" (in 31 reviews)
""Friendly people"" (in 23 reviews)
""Great benefits, amazing work culture"" (in 21 reviews)
""management is good, the manager will do 1"" (in 23 reviews)","""No work life balance, they expect to work till 2 or 3 am, or some time more than 24 hour, but work should be done."" (in 31 reviews)
""Might find comp and benefits a bit low when compared to the market standards."" (in 21 reviews)
""Management is poor."" (in 23 reviews)","67 %
Recommend to a friend
71 %
Approve of CEO
Himanshu Palsule
268 Ratings"
Verisk,4.0,Software Engineer II (C++),₹4L - ₹10L (Glassdoor Est.),"""Good work life balance in the company"" (in 53 reviews)
""They had great benefits and a great support system."" (in 31 reviews)
""Good salary"" (in 65 reviews)
""great people to work with"" (in 50 reviews)
""work culture and office is good"" (in 33 reviews)","""lower salary compared to peers"" (in 65 reviews)
""Salary and benefits are not great for people working in Verisk subsidiaries in south asia."" (in 50 reviews)
""Verisk's work culture is demanding and is difficult to maintain a healthy work"" (in 33 reviews)","81 %
Recommend to a friend
82 %
Approve of CEO
Lee Shavel
265 Ratings"
Verve Mobile,5.0,PHP Developers (Freshers/Junior),₹5L - ₹6L (Glassdoor Est.),No Pros Available,No Cons Available,"100 %
Recommend to a friend
100 %
Approve of CEO
Ravi Mittal
2 Ratings"
Pegasystems,3.9,"Software Engineer, Robotics",₹6L - ₹10L (Glassdoor Est.),"""Work life balance is good"" (in 66 reviews)
""Good work culture"" (in 48 reviews)
""Good pay to lure you in."" (in 54 reviews)
""Manager is good."" (in 34 reviews)
""Good people"" (in 35 reviews)","""Less hikes Heavy work No work life balance"" (in 66 reviews)
""Work culture is pathetic, also once you are in hikes are very minimal."" (in 48 reviews)
""Average pay"" (in 54 reviews)
""No on site opportunities, bad managers"" (in 34 reviews)
""related people to throw monkey wrench where it doesn't need to be."" (in 35 reviews)","75 %
Recommend to a friend
82 %
Approve of CEO
Alan Trefler
1,507 Ratings"
